Symbol1	Symbol2	Edge_Sign
Mst98Ca	nub	+
Mst98Ca	Vsx2	+
Mst98Ca	RpS10b	+
Mst98Ca	G9a	-
Mst98Ca	hbn	+
Dad	tkv	-
Dad	Smox	-
Dad	Mad	-
VhaAC45	VhaM8.9	-
CG5792	CG16817	-
CG5792	gp210	+
CG5792	TER94	-
CG4810	RpLP2	-
fs(1)h	CG2199	+
fs(1)h	CG6905	-
fs(1)h	Hsc70-1	-
fs(1)h	MESR4	+
fs(1)h	Gnf1	+
fs(1)h	CG30417	-
fs(1)h	skpA	-
fs(1)h	CkIIbeta	+
fs(1)h	fu2	+
CG42389	CG8483	+
CG13962	CG4386	-
Vhl	Cul-2	+
Vhl	Elongin-C	-
Vhl	hyd	+
CG13083	CSN4	+
CG11498	bip2	-
O-fut1	fng	+
sqd	Hrb27C	+
dre4	Ssrp	+
skl	th	+
MED30	MED4	+
MED30	MED7	+
MED30	MED17	+
MED30	ptip	+
oys	CG8155	-
CG32649	coil	+
CAP	Spx	-
CAP	Axn	+
skd	CG32479	+
skd	Cdk8	+
skd	MED16	+
skd	MED17	+
skd	MED11	+
skd	MED15	+
pav	pit	+
pav	tum	+
pav	CG31368	-
pav	CG8939	-
Eip55E	CG11255	+
Eip55E	RpS2	-
CG3689	CG7185	+
CG3689	CG5731	+
CG3689	C15	-
Hsp67Ba	CG8083	-
Spt6	Rrp46	+
CG33144	bocksbeutel	+
CG5746	gish	+
CG15814	CG32486	+
ksr	cindr	+
ksr	eIF4G	+
ksr	rl	+
ksr	fax	+
ksr	14-3-3epsilon	+
ksr	Droj2	+
ksr	CG6453	-
ksr	Dsor1	+
ksr	cnk	+
ksr	Egfr	+
CG2865	Bap60	+
CG2865	pcx	-
fz3	wg	-
CG17985	CG42342	+
brp	CG30430	-
brp	Ef1alpha48D	+
chn	CG7324	+
chn	Hsp83	-
chn	bip2	+
chn	PPYR1	+
CycK	CG13806	-
CycK	CG18745	+
CycK	hdc	+
CycK	CkIIalpha	-
CycK	mRpS9	-
CycK	pyd3	+
CycK	EcR	+
CycK	fry	-
p130CAS	wdb	+
CG30430	gcm2	-
CG7033	Tcp-1eta	+
Gprk2	smo	+
Glut1	Sirt4	+
RpL10Aa	dwg	+
RpL10Aa	Glut4EF	+
RpL10Aa	CG32479	-
RpL10Aa	CG10959	-
RpL10Aa	vig	-
RpL10Aa	her	-
CG13474	Tango7	+
CG13474	CG5642	-
sec5	RpL37a	-
sec5	Pax	+
sec5	zormin	-
CG11266	CG31211	-
CG11266	Spx	+
CG11266	PebII	+
CG11266	B52	+
CG11266	SRPK	+
CG11266	CG6340	+
CG42748	flw	+
CG15141	RpS23	-
CG15141	RpL3	-
CG15141	CG15631	+
CG10353	CG32100	+
CG5139	Vsx2	+
Optix	CG6937	-
Optix	CG11266	-
Optix	tws	+
Optix	Srp54	-
CG14881	BI-1	-
CG14881	CG5376	-
CG14881	SMSr	+
CG14881	Map60	+
CG32369	RpL4	+
Cyp6a9	CG5144	+
lgs	arm	+
lgs	pygo	+
Sse	pim	+
Vha44	Droj2	+
Mapmodulin	CG8745	-
Nedd8	CG15576	+
sec15	Rab11	+
Ser	N	+
Wdr82	Rae1	+
Wdr82	Arc1	+
Ef2b	SmD3	+
Ef2b	SmG	+
Ef2b	mts	+
gus	lilli	+
gus	Sox15	+
gus	CG5376	+
gus	RpL38	+
gus	Elongin-C	+
gus	CG8223	+
CG4465	Smr	-
Pmp70	gcm2	-
CG32264	Act5C	+
Hlc	sns	+
Hlc	CG13993	-
Hlc	CG11660	+
betaggt-II	eff	+
betaggt-II	chinmo	+
betaggt-II	CG18745	+
betaggt-II	CG5703	+
betaggt-II	Ca-P60A	+
CG4400	CG7379	+
CG4400	CG34422	+
CG4400	CG14220	+
CG4400	Rpd3	+
CG6660	Pk17E	+
hyx	arm	+
hyx	RpII215	+
CG10710	Bet1	-
rap	loco	+
rap	Imp	+
Scp2	CG9609	-
Scp2	CG6770	-
Scp2	HLH4C	-
Scp2	AP-1gamma	+
Scp2	CG1970	-
kto	CycC	+
kto	skd	+
kto	MED14	+
l(1)G0230	CG4692	+
l(1)G0230	kdn	+
CG15631	Lk6	+
CG15631	ari-2	+
CG15631	cnc	+
CG15631	CG33156	+
CG15631	CG4896	+
CG15631	eff	-
CG15631	sip1	+
CG15631	CG6808	-
E2f	Trf2	+
E2f	cdc2	+
E2f	Dref	+
sti	Cpn	+
CG3016	tna	-
LS2	CG7757	-
LS2	U2af38	+
Lcp65Aa	CG8180	+
nerfin-1	Cdep	+
gish	ci	-
gish	arr	+
png	gnu	-
CG13670	wkd	+
CG11984	Es2	+
CG11984	CG16894	+
CG11984	HP1e	+
GlyP	CG5506	-
GlyP	Rbp4	-
GlyP	CG32473	-
CycA	E2f	+
CycA	CG13806	+
CycA	CG5568	-
CycA	NaCP60E	-
CycA	Hsc70-1	+
CycA	cdc2c	+
CycA	MED15	+
CycA	fzy	+
CycA	cdc2	+
CycA	His3.3A	+
CycA	PHDP	-
CycA	ATPsyn-gamma	+
CycA	CycB	-
CycA	Cks30A	-
CycA	EcR	-
Pcaf	Hcf	+
Pcaf	MBD-R2	+
Pcaf	Taf10b	+
Pcaf	RpII215	+
Pcaf	Nipped-A	+
Pcaf	Atac2	-
Pcaf	Mes4	+
Pcaf	Taf1	+
Pcaf	Taf4	+
dalao	mor	+
dalao	Nat1	-
dalao	Bap55	+
dalao	z	-
ND75	aru	+
ND75	ND23	+
ND75	CG9140	+
ND75	CG5703	+
ND75	CG1970	+
CG6689	row	+
CG6689	Ubqn	+
trpl	Cam	+
wcd	Hsc70-1	+
wcd	CG7033	+
wcd	B52	+
wcd	Syp	+
wcd	Hsp68	+
CG14937	Pxn	-
wbl	CG10920	+
Prosalpha1	Rpn7	+
Prosalpha1	Mov34	+
Prosalpha1	Rpn2	+
Prosalpha1	CG17331	+
Prosalpha1	Rpt4	+
Prosalpha1	Rpt1	+
Pvf3	Hsp67Ba	+
beta'Cop	CG7878	-
beta'Cop	alphaCop	+
Atg4	Tap42	+
CG5506	Rfabg	+
CG5506	CG31198	-
Idh	Hel25E	-
Idh	Hsc70-1	+
Idh	betaTub85D	+
alphaTry	baz	+
ci	lid	-
ci	Pp2B-14D	+
ci	Doc1	+
ci	nej	+
ci	nej	+
ci	CycE	+
ci	Caf1-180	+
ci	Jon25Bi	+
ci	Art7	+
ci	Vha55	+
ci	CG3835	+
ci	Unc-89	+
boi	hh	+
NHP2	Hsc70-1	+
CG18476	RpL3	-
InR	chico	+
InR	RpS23	+
InR	RpL30	+
InR	ctp	+
InR	dock	+
InR	sta	+
InR	Pi3K21B	+
InR	RpL6	+
InR	RpL10	+
InR	RpS28b	+
InR	CG10916	-
CG8034	Pvr	-
CG3335	RpS11	+
ush	pnr	+
PyK	T-cp1	+
PyK	CG4169	-
dgo	Imp	-
CG10032	CG4829	-
CG10032	RpL5	+
CG10032	opa	+
CG10032	RpS8	+
CG10032	RpL17	+
CG10032	gcm2	+
CG10032	aralar1	-
dpr17	CG7203	+
Cwc25	CG8801	+
CG31029	CG8786	-
RpL6	Snp	-
glob1	AttA	+
hyd	ci	+
hyd	Rpt1	+
Rbf2	mip130	-
mats	hpo	+
mats	Pk17E	-
a	HP1b	-
dgt1	MED28	+
bic	Nacalpha	+
Sld5	CG7386	+
Sld5	Psf3	+
Sld5	Psf1	+
Sld5	Taf1	+
Sld5	Psf2	+
Uba3	Cul-3	+
Map60	emp	-
Tor	Atg1	-
Tor	CG8866	-
Tor	raptor	+
CG14130	betaggt-II	+
tsu	mago	+
ome	MED4	-
ome	PGRP-LC	+
Slh	Syx8	+
Slh	Syx18	+
Slh	Ykt6	+
Slh	Snap	+
Slh	Bet1	+
stck	tkv	+
stck	babo	+
stck	sax	+
Pdcd4	Bap60	+
Pdcd4	CG30263	-
CG16838	Br140	-
CG10324	CG5808	+
CG10324	l(2)37Cb	+
CG10324	Srp54	+
CG14818	CG34404	+
CG14818	sns	+
CG14818	RpLP0	-
CG14818	Abi	+
CG14818	Jra	+
CG14818	CG7357	-
CG14818	CG8801	-
CG1324	CG6885	+
CG1324	CG4101	-
CG8665	CG9350	-
CG5613	CG6904	+
Trf4-2	RpS8	-
ac	HLHm3	+
Uba1	Pk17E	-
Uba1	Alas	+
Uba1	UbcD6	+
Mlc2	CoIV	+
Mlc2	rok	-
Mlc2	Prm	-
Mlc2	Acp1	-
Mlc2	Tm2	+
CG12975	HLH4C	+
CG12975	MED8	+
PebIII	Obp99c	+
PebIII	Obp44a	+
PebIII	CG10625	+
CG3748	CG32479	+
alphaTub84B	Traf-like	-
alphaTub84B	CG6550	-
alphaTub84B	mus304	-
Sip1	RpS7	-
CG10014	CG11327	-
gammaTry	baz	+
Utx	RpL23A	-
Atac2	Hcf	-
ru	spi	+
ru	grk	+
spdo	N	+
Syx5	Slh	+
Syx5	Syx18	+
Syx5	Ykt6	+
Syx5	Syx1A	+
Syx5	Snap	+
Syx5	Use1	+
CG34354	CG9184	-
MED4	CG7185	-
MED4	CG34159	-
MED4	MED27	+
MED4	MED10	+
MED4	MED7	+
MED4	MED11	+
MED4	MED17	+
MED4	MED21	+
emb	MRP	-
emb	Karybeta3	+
emb	Sec61alpha	-
emb	Scamp	-
CG32473	Pgk	-
CG32473	CG7787	+
ZnT63C	Sc2	-
ZnT63C	PMCA	+
ZnT63C	Spt-I	+
ZnT63C	Sec61alpha	+
ZnT63C	Scamp	-
krz	dx	+
Uch-L3	Rpt3	+
Uch-L3	Rpn1	+
Uch-L3	Rpt1	+
Uch-L3	Pros26	+
Uch-L3	Mov34	+
Uch-L3	Prosalpha5	+
Uch-L3	Rpn9	+
Uch-L3	Prosbeta1	+
Uch-L3	Rpn5	+
Uch-L3	Prosbeta3	+
Uch-L3	Prosbeta2	+
Uch-L3	Tbp-1	+
Uch-L3	Pros45	+
Uch-L3	Pros26.4	+
Uch-L3	Rpn7	+
Uch-L3	Rpn3	+
Uch-L3	CG17331	+
Uch-L3	Pros35	+
Uch-L3	Rpt4	+
Uch-L3	Pros25	+
morgue	Ubp64E	+
morgue	RpS2	-
Sec16	RpLP1	+
Sec16	RpL3	+
Sec16	RpS11	+
Sec16	eIF-4a	+
l(2)03709	CG5174	+
l(2)03709	Rab11	+
l(2)03709	Rpn11	+
l(2)03709	Sply	+
l(2)03709	CG11779	+
CG7427	CG18745	-
CG16985	CG3800	+
ird5	cact	-
ird5	Tsc1	-
smt3	Chd64	+
smt3	Akap200	-
smt3	Ntf-2	+
smt3	Dim1	+
smt3	CG10638	-
smt3	CG4570	+
smt3	CG2852	-
smt3	CG11267	-
Shroom	RpS19a	+
Shroom	CG17327	+
Shroom	eIF-4a	+
nonA	eIF6	+
Arr1	Rae1	-
RpS12	msi	+
RpS12	cnn	-
RpS12	sns	+
RpS12	vnd	+
usnp	Prm	-
e(y)2b	Taf12	+
e(y)2b	CG5681	+
e(y)2b	RpS8	+
CG13358	drk	+
Tbp-1	Rpt3	+
Tbp-1	Rack1	-
Tbp-1	Rpn1	+
Tbp-1	CG7033	+
Tbp-1	Rpt1	+
Tbp-1	CG2064	+
Tbp-1	Rpn11	+
Tbp-1	Prosbeta7	+
Tbp-1	Rpn9	+
Tbp-1	Rpn5	+
Tbp-1	Rpn2	+
Tbp-1	Pomp	+
Tbp-1	CG13349	-
Tbp-1	Rpn7	+
Tbp-1	Pros35	+
Tbp-1	Rpn3	+
Tbp-1	CG17331	+
Tbp-1	Pros29	+
Tbp-1	Pros25	+
Tbp-1	Rpn6	+
Tbp-1	Rpt4	+
Tbp-1	Prosbeta5	+
Tbp-1	CG4169	+
Nplp1	cnn	+
Trip1	CG9740	+
aux	Dl	+
BthD	Wdr82	-
BthD	CG7049	+
CG3542	CG6686	+
CG3542	kdn	-
CG3542	U2af38	+
Rab11	CG12404	+
Rab11	Dl	+
Rab11	betaTub56D	+
CG30497	gt	+
CG30497	CycE	+
CG30497	RpS8	+
CG30497	CG32086	+
Arc1	CG34382	+
lobo	RpS3A	-
lobo	CG15440	-
Scamp	Sec61alpha	+
sec31	Gapdh2	-
Sec61alpha	Tango9	+
Sec61alpha	Pif1A	-
Treh	Rae1	-
Treh	Arc1	-
CG31482	CG3919	+
CG31482	Ddr	+
puc	RpL35A	+
puc	p38b	-
RpL35A	CG3847	+
RpL35A	star1	-
MED19	RpL36A	+
MED19	CG5792	-
Shc	CG3689	+
mRpL38	Pdi	-
mRpL38	CG1970	+
CG11674	Ubqn	+
TfIIEalpha	RpLP0	+
TfIIEalpha	TfIIEbeta	+
TfIIEalpha	Rpn1	+
CG8939	CG6937	+
cact	tub	-
cact	CG8925	-
TfIIB	e(y)1	+
CycJ	CG15043	+
CycJ	CycK	+
CycJ	CG7518	+
CycJ	CG15676	+
Cdk7	His3.3A	+
CG14410	CG15209	+
stops	Elongin-C	+
stops	CG5804	+
CG2604	CG42369	+
CG2604	stc	-
CG12206	jbug	-
Cct5	CG5525	+
Cct5	CG7033	+
Cct5	Tcp-1zeta	+
Cct5	Tcp-1eta	+
scyl	CG9986	+
CG12725	HLH4C	+
CG12725	RpS23	-
CG12725	CG5792	+
Rpd3	CG10077	-
Rpd3	Droj2	+
Rpd3	CG7379	+
Rpd3	CG6701	+
Rpd3	Sin3A	+
Rpd3	wds	+
Rpd3	gro	-
Rpd3	Hdac3	-
Rpd3	CoRest	+
CG42271	Mical	+
Rpn2	spn-F	+
Rpn2	Rpn12	+
Rpn2	Rpn1	+
Rpn2	Pomp	+
Rpn2	CG11885	-
Rpn2	CG17331	+
Rpn2	Rpn3	+
Rpn2	Pros35	+
Rpn2	Pros29	+
Rpn2	Pros25	+
Rpn2	Rpn11	+
Rpn2	Prosbeta7	+
Rpn2	Prosbeta5	+
CG10959	RpS30	-
Pkc98E	CG5440	-
Pkc98E	Stam	+
MED8	CG7185	-
MED8	MED4	+
MED8	MED16	+
MED8	MED25	+
MED8	dl	+
MED8	MED27	+
MED8	MED10	+
MED8	MED7	+
MED8	MED17	+
MED8	sec23	+
MED8	CSN3	+
Tctp	ctp	+
Tctp	Sap47	+
bur	CkIIbeta	+
sw	robl	+
CG18324	CG31999	+
CG13148	CycK	+
sev	drk	+
sev	csw	+
His2Av	YL-1	+
His2Av	MrgBP	+
His2Av	Hsc70-1	+
His2Av	Bap55	+
His2Av	DMAP1	+
His2Av	rept	+
His2Av	Nipped-A	+
His2Av	dom	+
His2Av	pont	+
His2Av	E(Pc)	+
CG6769	Zn72D	-
CG42668	CG13510	+
CG42668	sns	+
CG42668	CG5568	+
CG42668	y	+
Sam-S	CG8539	+
l(1)G0004	CG7185	+
l(1)G0004	CG2972	+
l(1)G0004	HLH4C	-
RanBP3	arm	+
pyd3	CG33017	+
CG43340	Bap60	+
CG43340	bun	+
Spindly	Pp1-13C	+
Spindly	CG31729	+
Spindly	Pp2A-29B	+
Spindly	Mes2	+
Spindly	Sec61alpha	+
Spindly	CG12768	+
Spindly	CG6550	-
Spindly	CG4169	+
CG31546	tun	-
RpS8	CG9986	-
Epac	CG4415	-
Epac	loco	+
Epac	CG7211	-
Epac	CG8620	-
Epac	CG8929	-
Epac	TwdlM	-
CG14073	RpS24	-
CG11563	CG17568	-
CG11563	CG17803	+
Vps25	Pk17E	-
Vps25	lsn	+
CG15445	achi	-
RpL13	Vm34Ca	+
RpL13	CG8368	+
Mkp3	rl	-
Dap160	Map60	+
aph-1	Psn	+
aph-1	pen-2	+
Hsc70-2	CG10887	+
CG11905	CG5062	+
CG5514	CG7033	-
lic	p38b	+
CG5114	Rpt1	+
CG15745	CG5792	+
Psf3	Psf1	+
CG12470	H	-
CG12470	drongo	+
hpo	Aats-lys	-
hpo	aret	-
hpo	chinmo	+
CG7236	Eps-15	-
Scr	skd	-
Rac1	spri	-
Rac1	bsk	+
Rac1	Rac2	+
Rac1	tum	-
Rac1	msn	+
Rac1	Pak	+
Rac1	RhoGAP68F	+
Rac1	trio	+
Rac1	Sra-1	+
Rac1	RhoGAP18B	-
Rac1	mbc	+
wac	dgt2	+
CSN8	CG9312	-
sxc	Zasp66	+
sxc	CG2852	+
sxc	toy	+
cindr	Spx	-
RpL8	14-3-3zeta	-
Sucb	Droj2	+
Sucb	S6k	+
Sucb	Pp2A-29B	+
Sucb	CG4169	+
RpS19a	D19A	+
RpS19a	RpS10b	+
qkr58E-3	qkr58E-2	-
qkr58E-3	CHIP	-
qkr58E-3	Syp	-
qkr58E-3	Atx2	-
Tango14	Prosbeta5R	-
PPYR1	RpS20	-
p47	CG8155	+
p47	TER94	+
p47	TER94	-
Zn72D	Pten	-
yin	mei-S332	+
wge	Tm2	+
CG8801	ns2	+
CG8801	Rbm13	+
CG8801	CG9253	+
CG8801	Nop56	+
CG8801	CG6724	+
CG8801	ns1	+
CG8801	RpL24-like	+
Nc	th	-
Nc	Dp1	+
Nc	CG6767	-
fru	CG31999	+
fru	CG15631	+
fru	bon	-
fru	to	-
hbn	RfC4	-
NELF-B	TH1	+
e(y)3	mor	-
e(y)3	brm	-
e(y)3	e(y)1	-
CG10344	CG1746	+
CG42369	pum	-
Pex12	S6k	+
Pex12	Doa	-
CG31813	CG7755	-
mbo	dysb	+
mbo	MED4	+
zfh1	lobo	-
Trxr-1	l(2)03709	+
ATPsyn-b	CG4692	+
ATPsyn-b	CG3321	+
ATPsyn-b	CG9797	+
ATPsyn-b	ATPsyn-gamma	+
ATPsyn-b	CG31522	-
ATPsyn-b	l(1)G0230	+
whd	CG42820	+
CG32626	CG8620	+
CG32626	Bace	+
CG32626	CG5860	+
CG32626	CG8929	+
CG32626	Kap-alpha1	-
alpha-Adaptin	numb	+
alpha-Adaptin	spdo	+
Nup75	CG7787	-
Nup75	CG6426	-
rst	X11L	-
sug	CtBP	-
sug	nito	-
comm	RpS9	-
yemalpha	fau	-
regucalcin	flr	+
regucalcin	CG10417	+
regucalcin	GstO3	+
regucalcin	CG10638	+
CG4884	CG13148	-
CG34112	CG18745	-
CG13484	CG34382	+
CG32039	TER94	-
CG32039	p47	-
CG32039	Gint3	-
fau	CG8907	-
lqf	Ser	+
lqf	Dl	+
Kmn1	Mis12	+
Pk34A	CG18745	-
Use1	Syx18	+
Use1	Syx8	-
Use1	Ykt6	+
Use1	Sec22	-
Use1	Snap	+
CG17359	Ady43A	-
Sry-beta	CG6937	-
upd3	dome	+
Saf-B	U2af38	-
Sema-2b	CG7546	+
Rpn3	mod(mdg4)	-
Pax	rtGEF	+
Pabp2	Art1	-
Pabp2	crol	+
Pabp2	l(1)G0334	+
CG12581	CG7987	+
CG12581	Cka	+
DCX-EMAP	CG11638	-
DCX-EMAP	trio	+
DCX-EMAP	vimar	-
Ca-P60A	Rab1	+
Ca-P60A	CG13220	-
Ca-P60A	Cctgamma	-
Ca-P60A	Cnx99A	+
Ca-P60A	Sec61alpha	-
Ca-P60A	CG30344	+
Ca-P60A	Rpt1	+
Ca-P60A	Gfat2	+
Ca-P60A	ATPsyn-beta	+
Ca-P60A	Surf4	-
Ca-P60A	MRP	-
Ca-P60A	desat1	+
Rab23	smo	-
caup	mirr	-
caup	Srp54	+
CG8728	CG3731	+
exo84	beta-Spec	+
exo84	Ef1gamma	+
CG14564	CG7770	-
CG14564	CG5773	+
RpL3	BM-40-SPARC	-
RpL3	CG4998	-
RpL3	CG8349	-
RpL3	Mtk	+
RpL3	CG6443	+
CG4364	CG9986	+
CG4364	star1	-
AnnIX	AnnX	+
CG15479	CG30427	-
RpL12	GckIII	+
RpL12	Hsc70-1	+
Cyp1	Rpn12	-
sas-6	CG4887	+
AttA	CSN4	-
CG42322	mRpS26	+
Scp1	Rfabg	-
Scp1	CG34402	-
Scp1	Pdsw	-
CG10673	Hel25E	+
CG10673	mts	+
Nup50	NaCP60E	+
Nup50	CG32354	-
Nup50	Nup153	+
Nup50	stc	-
lola	CG43894	-
lola	Chi	-
lola	CG32369	-
lola	CG4570	-
lola	BubR1	+
Pcl	Rpd3	+
lkb1	Mo25	-
lkb1	CG6937	-
lkb1	mts	+
e(r)	CG42249	+
CG14313	CG6576	+
CG9132	mnb	-
Rrp6	Dis3	+
Taf4	Taf1	+
Taf4	Taf6	+
Taf4	Taf5	+
Taf4	e(y)1	+
Pka-C2	ci	-
CG13560	CG31211	+
CG13560	Doa	-
CG13560	CG3808	-
CG13560	Srp54	-
dco	Bap	-
dco	ci	-
su(f)	CstF-64	+
Mp20	CG7357	+
CG9014	LysX	+
phyl	Hsp83	+
phyl	Rab11	+
phyl	CG3847	+
phyl	RpS3	+
phyl	betaTub56D	+
vg	Tektin-C	-
vg	CG18745	-
vg	sno	+
car	dor	+
brm	mor	+
brm	CG7185	+
brm	CG11505	+
brm	Bap60	+
brm	MED18	-
brm	osa	+
brm	Bap55	+
brm	Snr1	+
brm	MED8	-
brm	Hsc70-4	+
brm	Psi	-
brm	dalao	+
brm	z	-
brm	pont	+
tsl	tor	+
TFAM	CG6972	+
sca	N	+
sca	Dl	-
Hsc70-5	Droj2	-
Hsc70-5	snRNP-U1-70K	+
Hsc70-5	RpL35A	+
grp	RpLP1	-
grp	CG11505	-
grp	CG6724	-
grp	E5	-
grp	Bap55	-
Pp4-19C	PPP4R2r	-
CG10274	CG7386	-
CG10274	RpS13	+
CG10274	CG15436	-
Gem2	CG7231	+
CG32354	CG9941	+
CG32354	C15	-
babo	Smox	+
Cpr67Fa2	CG8907	+
Cpr67Fa2	C15	+
CG5355	CG2852	+
CG5172	CG8630	-
CG5172	desat1	-
psd	CG7427	+
vav	Rac1	+
CG13192	Saf-B	+
Spn4	Fur1	+
RpS28b	CG4887	-
kay	bsk	+
kay	Pros45	-
kay	Jra	+
kay	Hsp68	-
CG15084	psidin	-
Wnt4	fz2	+
Wnt4	fz	+
Wnt4	fz4	+
U2A	CG12343	+
U2A	ncm	+
U2A	SmD2	+
U2A	SmG	+
U2A	CG11107	+
U2A	Smn	+
mRpS10	CG18745	-
Mad1	rap	-
Mad1	fzr2	-
rictor	Tor	+
CG15472	CG5376	+
IP3K1	Cam	+
Su(H)	CG8079	+
Su(H)	H	+
Su(H)	CycB	+
Su(H)	CG7879	-
eIF2B-beta	Ada2b	+
RpII15	RpII215	+
CG3492	cnn	+
CG3492	nuf	+
Ext2	hh	+
RhoGAP68F	heph	+
RhoGAP68F	His3.3A	+
RhoGAP68F	Pp4-19C	+
Atg12	Atg7	+
Ras64B	CG31344	-
Myt1	cdc2	-
Ada2b	CG9797	-
CG12079	CG6463	+
CG5359	TH1	+
CG5359	CG8247	-
CG7638	pgc	+
Rpn5	Utx	-
Rpn5	Amun	+
Rpn5	Rpn3	+
Rpn5	Rpn2	+
Rpn5	Rpn1	+
Rpn5	Rpn11	+
G-oalpha47A	dsh	+
CG9630	SmD3	+
CG9630	CG3817	+
CG9630	CG6724	+
RpL15	CG8155	-
RpL15	mfrn	+
RpL15	CG6724	+
RpL15	Arr1	-
RpL15	dl	+
RpL15	star1	-
RpL15	CG5514	-
RpA-70	CG15220	+
RpA-70	RPA2	+
bip2	Taf10b	+
bip2	Taf10	+
bip2	Jra	-
bip2	bab2	+
tws	CG8173	+
tws	Akt1	+
tws	eIF4AIII	+
tws	CG33229	-
tws	CG15735	+
tws	Syp	+
CG11127	CG9986	+
Rbp9	CG7878	+
Rbp9	CG4612	-
Rbp9	B52	-
Rbp9	Syp	+
CG30118	Rcd2	+
slmb	rdgB	+
slmb	Chc	-
slmb	Letm1	-
slmb	wds	+
slmb	Rs1	+
slmb	CG1746	-
slmb	achi	-
slmb	mask	-
slmb	Arpc4	+
slmb	Hrd3	+
slmb	per	-
slmb	CG32219	-
slmb	Hsc70-1	+
slmb	Tcp-1eta	+
slmb	ball	+
slmb	arm	-
slmb	ci	-
slmb	eff	-
slmb	lin19	+
slmb	lin19	+
slmb	ATPsyn-gamma	+
slmb	eIF6	-
slmb	Roc1a	+
slmb	Roc1a	+
slmb	tim	-
sax	Mad	+
wdb	tan	+
wdb	CG9967	+
wdb	CkIIalpha-i1	-
RpL7-like	CG6937	+
Mst98Cb	CG13159	+
Mst98Cb	nub	+
CG5087	Arpc1	+
Cctgamma	Kap-alpha3	+
Cctgamma	Droj2	-
Cctgamma	CG5525	+
Cctgamma	TER94	-
Cctgamma	Rpt4	-
Cctgamma	Tbp-1	-
Cctgamma	Snp	+
Ir56b	Ef2b	+
CG15666	CkIIalpha-i3	+
Flo-2	vps24	+
Flo-2	HSPC300	+
fan	C15	+
CG8237	sip3	+
Strn-Mlck	Gpo-1	+
CG17834	p38b	-
Tret1-1	Prosbeta2	-
Cbs	Rho1	+
Cul-4	arm	+
Cul-4	CG31855	+
CG11811	scaf6	+
SPoCk	CG9804	-
SPoCk	CG6905	-
SPoCk	RpS3	-
SPoCk	RpS16	-
CG7634	Snp	+
twin	Arp2	+
twin	Not1	+
twin	CG3880	+
Taf1	mor	+
Taf1	polo	+
Taf1	Taf2	+
Taf1	CG1599	+
Taf1	Nup133	+
Taf1	spi	+
Taf1	e(y)1	+
Taf1	Lig4	-
Taf1	Taf5	+
Taf1	Dl	+
CG7277	CG8888	+
rux	cdc2	+
CG7131	CG7757	-
CG11656	Zasp66	+
CG11656	CG12868	+
Pk17E	SmD3	-
Pk17E	CG6701	+
Pk17E	Ubc12	+
Pk17E	Rab5	-
Pk17E	smt3	-
Pk17E	tws	-
Pk17E	Rab7	-
Pk17E	Ras85D	-
CkIIbeta	CG7650	+
CkIIbeta	per	-
CkIIbeta	HLH4C	-
CkIIbeta	CG9769	-
CkIIbeta	Hsc70-1	-
CkIIbeta	Gnf1	-
CkIIbeta	Rtf1	-
CkIIbeta	CG8159	+
CkIIbeta	Ssrp	-
CkIIbeta	Mfap1	+
CkIIbeta	tim	-
CG1986	RpS15	+
rdx	Cul-3	+
CG4998	Trip1	-
CG4998	SmB	-
RnrS	Upf1	+
RnrS	Arpc4	-
RnrS	Hsc70-1	+
RnrS	CG10625	-
Rrp4	Dis3	+
Rrp4	Rrp46	+
Rrp4	Mtr3	+
Rrp4	Rrp40	+
CG6455	CG8004	-
RpS27A	CG8079	-
RpS27A	CG7987	+
RpS27A	dl	+
RpS27A	RpL40	+
RpS27A	CG9099	-
RpS27A	CG9119	+
sty	Cbl	+
sty	CG8079	+
sty	ppa	+
sty	drk	+
sty	Socs16D	+
Art8	Dys	+
CoIV	CG4692	+
CoIV	CG5642	+
CoIV	CG13887	+
CG40127	AttB	-
CG40127	CG6357	-
CG40127	mnb	+
Mad	Med	+
Mad	tws	-
Pitslre	CG10077	-
Pitslre	pit	+
Pitslre	CG7878	-
Pitslre	CG16903	+
Pitslre	CG3224	-
Pitslre	CG3862	-
Pitslre	Jupiter	+
CG5027	CG9107	+
CG11236	CG10641	-
Cdk4	eIF3-S9	+
Cdk4	CG5009	-
Cdk4	ago	-
Cdk4	Rbp6	-
Cdk4	CG5568	-
Cdk4	CG6923	-
Cdk4	Rsf1	+
Cdk4	crn	+
Cdk4	Prosbeta5R	-
Cdk4	gus	+
Cdk4	RabX5	-
Cdk4	Pp4-19C	+
Cdk4	Stat92E	-
Cdk4	CG11107	-
Cdk4	CG7922	-
Cdk4	CycC	+
Cdk4	CycE	+
Cdk4	CG13900	+
Cdk4	CG5390	-
Cdk4	CG4269	-
Cdk4	CG11138	+
Cdk4	fry	+
Cdk4	Prosbeta5	+
CG4901	kz	+
Vha36-2	RpL15	-
Vha36-2	RpS17	-
cos	CkIalpha	+
cos	ci	-
cos	sgg	+
endoA	dl	-
Sh	dnc	-
Sh	mus209	-
bnl	btl	+
CG30291	CG34404	+
CG17672	cdc2	-
skpB	CG9527	+
skpB	Rbp6	+
skpB	Pp2B-14D	-
skpB	gus	-
skpB	tws	+
CG15440	RpS30	+
CG15440	CG7878	-
CG15440	HLH4C	-
CG15440	26-29-p	-
CG15440	kay	+
Nat1	vnc	+
